Player,Team,Target_Minutes,Actual_Minutes,Minute_Difference,True_Alpha,OLS,Ridge
Ralph,Dream,3,3.0,0.0,-5.686338675316672,-17.32045281711356,-6.523990988081292
Buddy,Dream,12,12.0,0.0,-1.6566845560757104,-13.689509491205026,-2.945665220789252
Shaggy,Dream,20,20.0,0.0,-0.29994395016721714,-12.01538518351489,-1.2629659522585162
Tobias,Dream,23,23.0,0.0,0.5150300672627951,-10.947057876026035,-0.2742232330663513
Susan,Dream,32,32.0,0.0,7.774805875528189,-4.258378540433276,6.287726625649543
Jarod,Dream,29,32.0,3.0,5.202898582290478,-7.037737986984758,3.6551038378304233
Tyson,Dream,2,0.0,-2.0,-7.6460522172719045,-19.682081087418073,-8.536105269793875
Caleb,Dream,26,32.0,6.0,4.708114041161201,-7.037737986984735,3.6551038378302336
Syndrome,Dream,33,36.0,3.0,8.9353812936425,-2.9734864003983117,7.51253464075586
Jimbo,Dream,6,4.0,-2.0,-4.168701731641749,-16.067570510224403,-5.236022843184192
Wemby,Dream,8,8.0,0.0,-2.9910784886410053,-15.088385407185687,-4.3061756352599785
Journey,Dream,14,12.0,-2.0,-1.2268554415866186,-13.207995678695962,-2.442058610197802
Westbrook,Dream,17,16.0,-1.0,-0.9391436492517722,-12.614687207467217,-1.8405753837640308
Anna,Dream,5,1.0,-4.0,-4.858500615112289,-16.913234585176852,-5.973075023040668
Darryl,Dream,10,9.0,-1.0,-2.031277665240201,-13.831423959386427,-3.09504429718194
Carl,Mean,3,1.0,-2.0,-6.629586650505674,-18.33144583670664,-7.390137515232424
Jimmy,Mean,12,1.0,-11.0,-6.5875043116253815,-18.112144158852615,-7.264563263126058
Sheen,Mean,20,9.0,-11.0,0.3654828122328646,-11.587021269321909,-0.8314434101353688
Cindy,Mean,23,31.0,8.0,7.134675612897982,-3.512230481672211,7.149766489667645
Jimmy's mom,Mean,32,19.0,-13.0,4.317431749022373,-7.479358423204418,3.2834249239482145
Mr. Crocker,Mean,29,7.0,-22.0,-0.644398379775933,-12.499654972168937,-1.7309733906524953
Timmy,Mean,2,13.0,11.0,2.2182571244547487,-9.618614027662009,1.151085512772553
Cosmo,Mean,26,23.0,-3.0,5.13996655399988,-6.51851195335937,4.137073196562605
Wanda,Mean,33,34.0,1.0,11.190867160335845,-1.2236882949899215,9.3660644117283
Chip,Mean,6,16.0,10.0,3.986816837369338,-8.045569554455769,2.7109053359433672
Linda,Mean,8,0.0,-8.0,-8.738578277977291,-20.492154641509494,-9.339179747954205
Link,Mean,14,16.0,2.0,4.159974444738365,-7.41350340811473,3.309887217459507
Ashley,Mean,17,34.0,17.0,13.316557414092786,1.3848633150623952,11.88623518196019
Shannon,Mean,5,31.0,26.0,9.142884842220656,-3.512230481672163,7.149766489669968
Denzel,Mean,10,5.0,-5.0,-2.9080337054616012,-15.265582625854151,-4.335244113222016
